CVE_ESTADO,NOM_ESTADO,CVE_DIAGNO,DES_DIAGNO,CVE_CIE10,ACUMULADO,MENORES_1,DE01_A_04,DE05_A_09,DE10_A_14,DE15_A_19,DE20_A_24,DE25_A_44,DE45_A_49,DE50_A_59,DE60_A_64,DE65_Y_MAS,SE_IGNORAN,SSA,IMSS_ORD,ISSSTE,OTRAS,IMSS_SOL,D_IF,PEMEX,SEDENA,SEDEMAR,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,PERIODO,MENORES_1F,DE01_A_04F,DE05_A_09F,DE10_A_14F,DE15_A_19F,DE20_A_24F,DE25_A_44F,DE45_A_49F,DE50_A_59F,DE60_A_64F,DE65_Y_MAF,SE_IGNORAF,TOTALM,TOTALF,SSAM,IMSS_ORDM,ISSSTEM,OTRASM,IMSS_SOLM,D_IFM,PEMEXM,SEDENAM,SEDEMARM,SSAF,IMSS_ORDF,ISSSTEF,OTRASF,IMSS_SOLF,D_IFF,PEMEXF,SEDENAF,SEDEMARF,ENEROM,FEBREROM,MARZOM,ABRILM,MAYOM,JUNIOM,JULIOM,AGOSTOM,SEPTIEMBRM,OCTUBREM,NOVIEMBREM,DICIEMBREM,ENEROF,FEBREROF,MARZOF,ABRILF,MAYOF,JUNIOF,JULIOF,AGOSTOF,SEPTIEMBRF,OCTUBREF,NOVIEMBREF,DICIEMBREF
7,CHIAPAS,7,Giardiasis,A07.1,719,14,58,66,55,30,22,34,21,15,10,7,0,383,53,33,78,172,0,0,0,0,43,54,89,43,93,43,57,55,56,58,79,49,2017,20,73,88,40,27,24,53,21,21,12,8,0,332,387,173,19,18,37,85,0,0,0,0,210,34,15,41,87,0,0,0,0,17,23,44,19,44,20,26,26,28,29,34,22,26,31,45,24,49,23,31,29,28,29,45,27
7,CHIAPAS,8,Infecciones intestinales por otros organismos y las mal definidas,"A04, A08-A09 excepto A08.0",218771,6575,17718,11904,8483,7072,8274,16835,6123,7058,4172,5325,438,64140,41228,14002,76907,21231,0,840,0,423,13687,15576,23157,18502,28486,22531,20087,20938,13940,14332,16178,11357,2017,6357,16991,12504,8592,8533,10055,25404,8034,10075,5144,6701,404,99977,118794,29209,18479,5706,36580,9367,0,418,0,218,34931,22749,8296,40327,11864,0,422,0,205,6314,7087,10639,8329,12990,10103,9213,9635,6401,6495,7556,5215,7373,8489,12518,10173,15496,12428,10874,11303,7539,7837,8622,6142
7,CHIAPAS,178,Fiebre paratifoidea,A01.1-A01.4,1539,5,21,51,49,66,61,128,55,31,14,25,0,1053,0,77,187,222,0,0,0,0,81,112,133,80,193,129,113,142,168,147,160,81,2017,3,26,60,83,129,152,350,88,88,32,22,0,506,1033,328,0,39,79,60,0,0,0,0,725,0,38,108,162,0,0,0,0,19,37,52,30,59,51,40,40,57,37,55,29,62,75,81,50,134,78,73,102,111,110,105,52
7,CHIAPAS,93,Otras infecciones intestinales debidas a protozoarios,"A07.0, A07.2, A07.9",11935,330,1121,826,709,486,453,622,330,318,153,150,2,7545,64,371,3051,890,0,0,0,14,830,960,1021,807,1288,1179,918,1020,891,1039,1359,623,2017,420,1125,1027,712,525,530,1015,353,353,186,170,19,5500,6435,3396,30,158,1556,356,0,0,0,4,4149,34,213,1495,534,0,0,0,10,366,430,468,362,582,549,430,480,411,502,621,299,464,530,553,445,706,630,488,540,480,537,738,324
8,CHIHUAHUA,1,Cólera,A00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CHIHUAHUA,2,Amebiasis intestinal,"A06.0-A06.3, A06.9",2837,44,260,177,112,79,67,206,62,72,37,82,3,768,416,282,831,540,0,0,0,0,185,190,258,206,379,269,304,344,223,180,182,117,2017,54,226,172,133,96,113,404,96,182,56,104,0,1201,1636,335,172,116,324,254,0,0,0,0,433,244,166,507,286,0,0,0,0,82,88,100,88,165,107,114,132,104,80,82,59,103,102,158,118,214,162,190,212,119,100,100,58
8,CHIHUAHUA,5,Shigelosis,A03,81,1,3,2,3,3,1,6,8,8,0,1,0,11,1,0,69,0,0,0,0,0,10,4,8,0,4,2,2,24,1,1,24,1,2017,1,5,2,1,4,0,10,9,11,0,2,0,36,45,5,1,0,30,0,0,0,0,0,6,0,0,39,0,0,0,0,0,4,3,4,0,1,0,0,10,1,1,12,0,6,1,4,0,3,2,2,14,0,0,12,1
8,CHIHUAHUA,6,Fiebre tifoidea,A01.0,732,0,5,4,28,38,50,70,37,50,20,4,0,186,1,2,531,12,0,0,0,0,56,17,31,34,108,116,84,130,46,58,29,23,2017,0,4,12,37,50,60,121,57,41,29,15,0,306,426,53,0,0,250,3,0,0,0,0,133,1,2,281,9,0,0,0,0,22,4,11,20,43,51,32,59,18,25,10,11,34,13,20,14,65,65,52,71,28,33,19,12
8,CHIHUAHUA,7,Giardiasis,A07.1,127,5,15,7,7,7,7,10,3,3,0,0,0,34,22,2,68,1,0,0,0,0,26,11,19,15,14,12,3,4,12,8,1,2,2017,3,14,9,5,3,11,9,2,4,3,0,0,64,63,14,10,1,39,0,0,0,0,0,20,12,1,29,1,0,0,0,0,12,5,9,8,9,7,1,4,5,3,0,1,14,6,10,7,5,5,2,0,7,5,1,1
8,CHIHUAHUA,8,Infecciones intestinales por otros organismos y las mal definidas,"A04, A08-A09 excepto A08.0",201157,4802,14840,9676,7469,6184,7137,18584,5403,6580,3118,5630,200,29484,76760,11186,74203,9119,0,0,405,0,10658,10705,17219,18674,28935,19727,16293,21788,18874,15506,14638,8140,2017,4551,13165,9351,6879,7255,9531,27395,8225,11531,4689,8863,99,89623,111534,13319,32233,4474,35272,4129,0,0,196,0,16165,44527,6712,38931,4990,0,0,209,0,4720,4782,7650,8380,12729,8675,7206,9699,8434,6987,6576,3785,5938,5923,9569,10294,16206,11052,9087,12089,10440,8519,8062,4355
